Territorio,Tipo de territorio,Categoría_Delito,Mes_Año,Tipo_de_Hecho,Cantidad,Mes,Año,Mes_Num
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2022,Hechos contra las personas,53.0,dic,2022,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2023,Hechos contra las personas,72.0,ene,2023,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2023,Hechos contra las personas,56.0,feb,2023,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2023,Hechos contra las personas,96.0,mar,2023,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2023,Hechos contra las personas,105.0,abr,2023,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2023,Hechos contra las personas,89.0,may,2023,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2023,Hechos contra las personas,130.0,jun,2023,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2023,Hechos contra las personas,118.0,jul,2023,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2023,Hechos contra las personas,74.0,ago,2023,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2023,Hechos contra las personas,112.0,sep,2023,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2023,Hechos contra las personas,111.0,oct,2023,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2023,Hechos contra las personas,87.0,nov,2023,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2023,Hechos contra las personas,78.0,dic,2023,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2024,Hechos contra las personas,84.0,ene,2024,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2024,Hechos contra las personas,89.0,feb,2024,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2024,Hechos contra las personas,73.0,mar,2024,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2024,Hechos contra las personas,73.0,abr,2024,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2024,Hechos contra las personas,83.0,may,2024,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2024,Hechos contra las personas,131.0,jun,2024,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2024,Hechos contra las personas,100.0,jul,2024,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2024,Hechos contra las personas,107.0,ago,2024,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2024,Hechos contra las personas,117.0,sep,2024,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2024,Hechos contra las personas,130.0,oct,2024,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2024,Hechos contra las personas,108.0,nov,2024,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2024,Hechos contra las personas,64.0,dic,2024,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2025,Hechos contra las personas,99.0,ene,2025,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2025,Hechos contra las personas,95.0,feb,2025,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2025,Hechos contra las personas,88.0,mar,2025,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2025,Hechos contra las personas,90.0,abr,2025,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2025,Hechos contra las personas,112.0,may,2025,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2025,Hechos contra las personas,143.0,jun,2025,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2025,Hechos contra las personas,118.0,jul,2025,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2025,Hechos contra las personas,100.0,ago,2025,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2025,Hechos contra las personas,89.0,sep,2025,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2025,Hechos contra las personas,112.0,oct,2025,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2025,Hechos contra las personas,86.0,nov,2025,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2025,Hechos contra las personas,81.0,dic,2025,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2026,Hechos contra las personas,85.0,ene,2026,1
Barcelona,Municipi,Amenazas,ene 2011,Hechos contra las personas,129.0,ene,2011,1
Barcelona,Municipi,Amenazas,feb 2011,Hechos contra las personas,87.0,feb,2011,2
Barcelona,Municipi,Amenazas,mar 2011,Hechos contra las personas,104.0,mar,2011,3
Barcelona,Municipi,Amenazas,abr 2011,Hechos contra las personas,107.0,abr,2011,4
Barcelona,Municipi,Amenazas,may 2011,Hechos contra las personas,123.0,may,2011,5
Barcelona,Municipi,Amenazas,jun 2011,Hechos contra las personas,111.0,jun,2011,6
Barcelona,Municipi,Amenazas,jul 2011,Hechos contra las personas,128.0,jul,2011,7
Barcelona,Municipi,Amenazas,ago 2011,Hechos contra las personas,124.0,ago,2011,8
Barcelona,Municipi,Amenazas,sep 2011,Hechos contra las personas,110.0,sep,2011,9
Barcelona,Municipi,Amenazas,oct 2011,Hechos contra las personas,112.0,oct,2011,10
Barcelona,Municipi,Amenazas,nov 2011,Hechos contra las personas,115.0,nov,2011,11
Barcelona,Municipi,Amenazas,dic 2011,Hechos contra las personas,101.0,dic,2011,12
Barcelona,Municipi,Amenazas,ene 2012,Hechos contra las personas,107.0,ene,2012,1
Barcelona,Municipi,Amenazas,feb 2012,Hechos contra las personas,92.0,feb,2012,2
Barcelona,Municipi,Amenazas,mar 2012,Hechos contra las personas,112.0,mar,2012,3
Barcelona,Municipi,Amenazas,abr 2012,Hechos contra las personas,94.0,abr,2012,4
Barcelona,Municipi,Amenazas,may 2012,Hechos contra las personas,101.0,may,2012,5
Barcelona,Municipi,Amenazas,jun 2012,Hechos contra las personas,109.0,jun,2012,6
Barcelona,Municipi,Amenazas,jul 2012,Hechos contra las personas,134.0,jul,2012,7
Barcelona,Municipi,Amenazas,ago 2012,Hechos contra las personas,136.0,ago,2012,8
Barcelona,Municipi,Amenazas,sep 2012,Hechos contra las personas,131.0,sep,2012,9
Barcelona,Municipi,Amenazas,oct 2012,Hechos contra las personas,136.0,oct,2012,10
Barcelona,Municipi,Amenazas,nov 2012,Hechos contra las personas,142.0,nov,2012,11
Barcelona,Municipi,Amenazas,dic 2012,Hechos contra las personas,111.0,dic,2012,12
Barcelona,Municipi,Amenazas,ene 2013,Hechos contra las personas,136.0,ene,2013,1
Barcelona,Municipi,Amenazas,feb 2013,Hechos contra las personas,129.0,feb,2013,2
Barcelona,Municipi,Amenazas,mar 2013,Hechos contra las personas,118.0,mar,2013,3
Barcelona,Municipi,Amenazas,abr 2013,Hechos contra las personas,111.0,abr,2013,4
Barcelona,Municipi,Amenazas,may 2013,Hechos contra las personas,128.0,may,2013,5
Barcelona,Municipi,Amenazas,jun 2013,Hechos contra las personas,120.0,jun,2013,6
Barcelona,Municipi,Amenazas,jul 2013,Hechos contra las personas,148.0,jul,2013,7
Barcelona,Municipi,Amenazas,ago 2013,Hechos contra las personas,127.0,ago,2013,8
Barcelona,Municipi,Amenazas,sep 2013,Hechos contra las personas,119.0,sep,2013,9
Barcelona,Municipi,Amenazas,oct 2013,Hechos contra las personas,98.0,oct,2013,10
Barcelona,Municipi,Amenazas,nov 2013,Hechos contra las personas,116.0,nov,2013,11
Barcelona,Municipi,Amenazas,dic 2013,Hechos contra las personas,108.0,dic,2013,12
Barcelona,Municipi,Amenazas,ene 2014,Hechos contra las personas,98.0,ene,2014,1
Barcelona,Municipi,Amenazas,feb 2014,Hechos contra las personas,107.0,feb,2014,2
Barcelona,Municipi,Amenazas,mar 2014,Hechos contra las personas,94.0,mar,2014,3
Barcelona,Municipi,Amenazas,abr 2014,Hechos contra las personas,112.0,abr,2014,4
Barcelona,Municipi,Amenazas,may 2014,Hechos contra las personas,103.0,may,2014,5
Barcelona,Municipi,Amenazas,jun 2014,Hechos contra las personas,122.0,jun,2014,6
Barcelona,Municipi,Amenazas,jul 2014,Hechos contra las personas,105.0,jul,2014,7
Barcelona,Municipi,Amenazas,ago 2014,Hechos contra las personas,114.0,ago,2014,8
Barcelona,Municipi,Amenazas,sep 2014,Hechos contra las personas,126.0,sep,2014,9
Barcelona,Municipi,Amenazas,oct 2014,Hechos contra las personas,122.0,oct,2014,10
Barcelona,Municipi,Amenazas,nov 2014,Hechos contra las personas,86.0,nov,2014,11
Barcelona,Municipi,Amenazas,dic 2014,Hechos contra las personas,94.0,dic,2014,12
Barcelona,Municipi,Amenazas,ene 2015,Hechos contra las personas,83.0,ene,2015,1
Barcelona,Municipi,Amenazas,feb 2015,Hechos contra las personas,90.0,feb,2015,2
Barcelona,Municipi,Amenazas,mar 2015,Hechos contra las personas,115.0,mar,2015,3
Barcelona,Municipi,Amenazas,abr 2015,Hechos contra las personas,111.0,abr,2015,4
Barcelona,Municipi,Amenazas,may 2015,Hechos contra las personas,119.0,may,2015,5
Barcelona,Municipi,Amenazas,jun 2015,Hechos contra las personas,115.0,jun,2015,6
Barcelona,Municipi,Amenazas,jul 2015,Hechos contra las personas,240.0,jul,2015,7
Barcelona,Municipi,Amenazas,ago 2015,Hechos contra las personas,222.0,ago,2015,8
Barcelona,Municipi,Amenazas,sep 2015,Hechos contra las personas,238.0,sep,2015,9
Barcelona,Municipi,Amenazas,oct 2015,Hechos contra las personas,262.0,oct,2015,10
Barcelona,Municipi,Amenazas,nov 2015,Hechos contra las personas,237.0,nov,2015,11
Barcelona,Municipi,Amenazas,dic 2015,Hechos contra las personas,216.0,dic,2015,12
Barcelona,Municipi,Amenazas,ene 2016,Hechos contra las personas,230.0,ene,2016,1
Barcelona,Municipi,Amenazas,feb 2016,Hechos contra las personas,216.0,feb,2016,2
Barcelona,Municipi,Amenazas,mar 2016,Hechos contra las personas,223.0,mar,2016,3
Barcelona,Municipi,Amenazas,abr 2016,Hechos contra las personas,232.0,abr,2016,4
Barcelona,Municipi,Amenazas,may 2016,Hechos contra las personas,219.0,may,2016,5
Barcelona,Municipi,Amenazas,jun 2016,Hechos contra las personas,209.0,jun,2016,6
Barcelona,Municipi,Amenazas,jul 2016,Hechos contra las personas,261.0,jul,2016,7
Barcelona,Municipi,Amenazas,ago 2016,Hechos contra las personas,253.0,ago,2016,8
Barcelona,Municipi,Amenazas,sep 2016,Hechos contra las personas,217.0,sep,2016,9
Barcelona,Municipi,Amenazas,oct 2016,Hechos contra las personas,223.0,oct,2016,10
Barcelona,Municipi,Amenazas,nov 2016,Hechos contra las personas,197.0,nov,2016,11
Barcelona,Municipi,Amenazas,dic 2016,Hechos contra las personas,195.0,dic,2016,12
Barcelona,Municipi,Amenazas,ene 2017,Hechos contra las personas,186.0,ene,2017,1
Barcelona,Municipi,Amenazas,feb 2017,Hechos contra las personas,212.0,feb,2017,2
Barcelona,Municipi,Amenazas,mar 2017,Hechos contra las personas,239.0,mar,2017,3
Barcelona,Municipi,Amenazas,abr 2017,Hechos contra las personas,210.0,abr,2017,4
Barcelona,Municipi,Amenazas,may 2017,Hechos contra las personas,244.0,may,2017,5
Barcelona,Municipi,Amenazas,jun 2017,Hechos contra las personas,205.0,jun,2017,6
Barcelona,Municipi,Amenazas,jul 2017,Hechos contra las personas,282.0,jul,2017,7
Barcelona,Municipi,Amenazas,ago 2017,Hechos contra las personas,195.0,ago,2017,8
Barcelona,Municipi,Amenazas,sep 2017,Hechos contra las personas,221.0,sep,2017,9
Barcelona,Municipi,Amenazas,oct 2017,Hechos contra las personas,223.0,oct,2017,10
Barcelona,Municipi,Amenazas,nov 2017,Hechos contra las personas,194.0,nov,2017,11
Barcelona,Municipi,Amenazas,dic 2017,Hechos contra las personas,171.0,dic,2017,12
Barcelona,Municipi,Amenazas,ene 2018,Hechos contra las personas,172.0,ene,2018,1
Barcelona,Municipi,Amenazas,feb 2018,Hechos contra las personas,200.0,feb,2018,2
Barcelona,Municipi,Amenazas,mar 2018,Hechos contra las personas,226.0,mar,2018,3
Barcelona,Municipi,Amenazas,abr 2018,Hechos contra las personas,205.0,abr,2018,4
Barcelona,Municipi,Amenazas,may 2018,Hechos contra las personas,238.0,may,2018,5
Barcelona,Municipi,Amenazas,jun 2018,Hechos contra las personas,206.0,jun,2018,6
Barcelona,Municipi,Amenazas,jul 2018,Hechos contra las personas,237.0,jul,2018,7
Barcelona,Municipi,Amenazas,ago 2018,Hechos contra las personas,213.0,ago,2018,8
Barcelona,Municipi,Amenazas,sep 2018,Hechos contra las personas,205.0,sep,2018,9
